,name,type,rating,latitude,longitude
0,1st Steps Day Nursery LTD,Hospitals/Childcare/Caring Premises,4,51.55175795,0.1614399
1,212 Lounge,Other catering premises,4,51.572008,0.1411341
2,3 Sweet Mrs,Retailers - other,4,51.5397362,0.1605594
3,3D Food & Wine LTD T/A Westbury News,Retailers - other,4,51.534083,0.085834
4,5 Elm's Cafe,Restaurant/Cafe/Canteen,3,51.554493,0.142421
5,5G Burger,Restaurant/Cafe/Canteen,5,51.5318386,0.1469348
6,6Burgerz,Takeaway/sandwich shop,5,51.5258941,0.105279
7,7 TILL 11,Retailers - other,3,51.558435,0.129392
8,786 Halal Meat and Fish,Retailers - other,3,51.5427484,0.1659517
9,7even Restaurant,Restaurant/Cafe/Canteen,4,51.5721207,0.1423516
10,97p Knockout,Retailers - other,5,51.537568,0.079432
11,A1 Cash & Carry,Retailers - other,3,51.534006,0.151336
12,Aafio Kenkey Market,Restaurant/Cafe/Canteen,2,51.534984588623,0.110776998102665
13,Aafio Mini Market,Retailers - other,4,51.5347185,0.1106463
14,Abbey Care Home,Hospitals/Childcare/Caring Premises,4,51.595515,0.147455
15,Abbey Children's Centre Day Nursery,Hospitals/Childcare/Caring Premises,4,51.541375,0.07525
16,Abbey Kebab & Pizza,Takeaway/sandwich shop,5,51.55093,0.128666
17,Abbey Mini Market,Retailers - other,3,51.541715,0.084452
18,Abbeyfield,Hospitals/Childcare/Caring Premises,5,51.578703,0.133413
19,Abbeyfield Extra Care Society,Hospitals/Childcare/Caring Premises,5,51.538029,0.144287
20,Abbi Superstores,Retailers - other,4,51.534083,0.085834
21,Abena Service Station,Retailers - other,5,51.5399894714355,0.165749996900558
22,Abigails Cafe,Restaurant/Cafe/Canteen,3,51.570095,0.1306
23,Abiglobal,Retailers - other,5,51.5201804,0.0995658
24,Abike Oloogun Ebi Kitchen,Restaurant/Cafe/Canteen,5,51.567947,0.1425003
25,Abu Discount Store,Retailers - other,5,51.56384,0.146641
26,Accesscare Ltd,Hospitals/Childcare/Caring Premises,5,51.5630528,0.1390687
27,ACIU,Retailers - other,5,51.5354283,0.0946301
28,ACIU Ltd,Retailers - other,5,51.535789,0.094059
29,Adom Trading Ltd T/A  Amazing Grace,Retailers - other,4,51.551418,0.110629
30,Agouma,Retailers - other,4,51.5612983703613,0.147397994995117
31,Aguona,Retailers - other,4,51.571543,0.133554
32,AK Halal Meat LTD,Retailers - other,5,51.541528,0.1481982
33,Aksular Restaurant,Restaurant/Cafe/Canteen,5,51.571207,0.13172
34,Al Madinah Halal Butchers Ltd,Retailers - other,3,51.545834,0.094549
35,Albadia,Retailers - other,5,51.5311682,0.1220024
36,Aldi Stores Limited,Retailers - supermarkets/hypermarkets,5,51.530616,0.145424
37,Alex The Chef Ltd,Mobile caterer,5,51.550171,0.109417
38,Alexander Court Care Centre,Hospitals/Childcare/Caring Premises,5,51.550546,0.161954
39,Alfajar Food,Retailers - other,4,51.5708412,0.1316126
40,Ali Baba,Takeaway/sandwich shop,5,51.554493,0.142421
41,Ali's Bangla Kitchen,Takeaway/sandwich shop,5,51.561456,0.140757
42,Ali's Kebab,Takeaway/sandwich shop,4,51.5274314880371,0.16108800470829
43,Ali's Kitchen,Takeaway/sandwich shop,5,51.5458135,0.1650587
44,Ali's Plaice,Takeaway/sandwich shop,5,51.539889,0.158103
45,All Saints Roman Catholic Lower School,School/college/university,4,51.56273,0.151278
46,Amader Bazaar,Retailers - other,3,51.5622588,0.123348
47,Amar Bazar Ltd,Retailers - other,5,51.545329,0.093127
48,Amirah Cakes & Bakes,Retailers - other,3,51.537998,0.078572
49,ANDHRA SPICE,Takeaway/sandwich shop,1,51.537997,0.078572
50,Andys Fish Bar,Takeaway/sandwich shop,3,51.564016,0.176142
51,Angel Mini Mart,Retailers - other,3,51.529929,0.153941
52,Angels Bakery,Takeaway/sandwich shop,3,51.5419706,0.1475988
53,Angies Cafe and Kebab Ltd,Takeaway/sandwich shop,5,51.539793,0.127901
54,Anne - Mary's Bakehut LTD,Other catering premises,4,51.548806,0.1558971
55,Ann's General Store,Retailers - other,5,51.575642,0.140039
56,Anokhi Rasoi Ltd,Mobile caterer,5,51.57067,0.144394
